Date,Pageviews,Clicks,Enrollments,Payments
"Sat, Oct 11",7723,687,134,70
"Sun, Oct 12",9102,779,147,70
"Mon, Oct 13",10511,909,167,95
"Tue, Oct 14",9871,836,156,105
"Wed, Oct 15",10014,837,163,64
"Thu, Oct 16",9670,823,138,82
"Fri, Oct 17",9008,748,146,76
"Sat, Oct 18",7434,632,110,70
"Sun, Oct 19",8459,691,131,60
"Mon, Oct 20",10667,861,165,97
"Tue, Oct 21",10660,867,196,105
"Wed, Oct 22",9947,838,162,92
"Thu, Oct 23",8324,665,127,56
"Fri, Oct 24",9434,673,220,122
"Sat, Oct 25",8687,691,176,128
"Sun, Oct 26",8896,708,161,104
"Mon, Oct 27",9535,759,233,124
"Tue, Oct 28",9363,736,154,91
"Wed, Oct 29",9327,739,196,86
"Thu, Oct 30",9345,734,167,75
"Fri, Oct 31",8890,706,174,101
"Sat, Nov 1",8460,681,156,93
"Sun, Nov 2",8836,693,206,67
"Mon, Nov 3",9437,788,,
"Tue, Nov 4",9420,781,,
"Wed, Nov 5",9570,805,,
"Thu, Nov 6",9921,830,,
"Fri, Nov 7",9424,781,,
"Sat, Nov 8",9010,756,,
"Sun, Nov 9",9656,825,,
"Mon, Nov 10",10419,874,,
"Tue, Nov 11",9880,830,,
"Wed, Nov 12",10134,801,,
"Thu, Nov 13",9717,814,,
"Fri, Nov 14",9192,735,,
"Sat, Nov 15",8630,743,,
"Sun, Nov 16",8970,722,,